/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:261: DtypeWarning: Columns (18,19,20,21,22) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:307: DtypeWarning: Columns (17,18,19) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
directory "../checkpoints/" existing for save checkpoint!
#########################################
Be patient..., checking checkpoint now...
Start training from 0 epoch
#########################################
training start!
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:91: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
  0%|                                                                                                                                                                                                                                                                                                                                            | 0/21 [00:00<?, ?it/s]/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:117: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():                                                                                                                                                                                                                                                                                                                             | 0/1406 [00:00<?, ?it/s]
loss is 12.529741287231445, acc1 is 0.87890625, acc5 is 5.95703125, cma_loss is 10.806194305419922, uma_loss is 1.7235465049743652
loss is 12.462655067443848, acc1 is 1.07421875, acc5 is 6.4453125, cma_loss is 10.750846862792969, uma_loss is 1.711808204650879
loss is 12.423481941223145, acc1 is 0.9765625, acc5 is 6.25, cma_loss is 10.711772918701172, uma_loss is 1.7117087841033936
loss is 12.358367919921875, acc1 is 1.26953125, acc5 is 7.8125, cma_loss is 10.750102996826172, uma_loss is 1.6082653999328613
loss is 12.427553176879883, acc1 is 1.5625, acc5 is 6.15234375, cma_loss is 10.80575942993164, uma_loss is 1.6217942237854004
loss is 12.303996086120605, acc1 is 1.7578125, acc5 is 7.12890625, cma_loss is 10.775558471679688, uma_loss is 1.528437852859497
loss is 12.238487243652344, acc1 is 1.46484375, acc5 is 7.12890625, cma_loss is 10.74554443359375, uma_loss is 1.4929430484771729
loss is 12.230448722839355, acc1 is 1.3671875, acc5 is 8.0078125, cma_loss is 10.67458724975586, uma_loss is 1.555861234664917
loss is 12.027179718017578, acc1 is 1.66015625, acc5 is 6.54296875, cma_loss is 10.502349853515625, uma_loss is 1.524829626083374
loss is 11.997709274291992, acc1 is 1.26953125, acc5 is 7.12890625, cma_loss is 10.54412841796875, uma_loss is 1.4535808563232422
loss is 12.09712028503418, acc1 is 1.85546875, acc5 is 7.71484375, cma_loss is 10.694156646728516, uma_loss is 1.402963638305664
loss is 12.032184600830078, acc1 is 1.7578125, acc5 is 7.12890625, cma_loss is 10.770416259765625, uma_loss is 1.2617688179016113
loss is 12.124598503112793, acc1 is 1.953125, acc5 is 7.12890625, cma_loss is 10.818275451660156, uma_loss is 1.3063232898712158
loss is 11.95616340637207, acc1 is 1.85546875, acc5 is 9.1796875, cma_loss is 10.588165283203125, uma_loss is 1.3679986000061035
loss is 12.051825523376465, acc1 is 2.44140625, acc5 is 8.0078125, cma_loss is 10.775470733642578, uma_loss is 1.2763547897338867
loss is 12.009688377380371, acc1 is 1.7578125, acc5 is 6.8359375, cma_loss is 10.742069244384766, uma_loss is 1.2676188945770264
loss is 11.858936309814453, acc1 is 1.26953125, acc5 is 7.91015625, cma_loss is 10.55539321899414, uma_loss is 1.3035426139831543
loss is 11.731058120727539, acc1 is 2.24609375, acc5 is 8.984375, cma_loss is 10.563446044921875, uma_loss is 1.167611837387085
loss is 11.876304626464844, acc1 is 2.05078125, acc5 is 8.10546875, cma_loss is 10.715885162353516, uma_loss is 1.1604197025299072
loss is 11.697830200195312, acc1 is 2.05078125, acc5 is 8.30078125, cma_loss is 10.477699279785156, uma_loss is 1.2201306819915771
loss is 11.614813804626465, acc1 is 2.5390625, acc5 is 9.9609375, cma_loss is 10.382923126220703, uma_loss is 1.2318904399871826
loss is 11.533903121948242, acc1 is 2.44140625, acc5 is 9.375, cma_loss is 10.426750183105469, uma_loss is 1.1071527004241943
loss is 11.530773162841797, acc1 is 1.7578125, acc5 is 8.3984375, cma_loss is 10.452960968017578, uma_loss is 1.0778125524520874
loss is 11.424660682678223, acc1 is 2.5390625, acc5 is 9.9609375, cma_loss is 10.313373565673828, uma_loss is 1.1112867593765259
loss is 11.567495346069336, acc1 is 2.24609375, acc5 is 8.984375, cma_loss is 10.542922973632812, uma_loss is 1.0245723724365234
loss is 11.308843612670898, acc1 is 1.7578125, acc5 is 9.765625, cma_loss is 10.339298248291016, uma_loss is 0.9695456027984619
loss is 11.223855972290039, acc1 is 2.734375, acc5 is 10.9375, cma_loss is 10.245742797851562, uma_loss is 0.9781132936477661
loss is 11.43956184387207, acc1 is 2.734375, acc5 is 10.3515625, cma_loss is 10.446517944335938, uma_loss is 0.9930438995361328
loss is 11.329731941223145, acc1 is 1.7578125, acc5 is 9.08203125, cma_loss is 10.363666534423828, uma_loss is 0.9660654067993164
loss is 11.049257278442383, acc1 is 3.41796875, acc5 is 10.64453125, cma_loss is 10.118732452392578, uma_loss is 0.9305248260498047
loss is 10.940364837646484, acc1 is 2.1484375, acc5 is 10.83984375, cma_loss is 10.015644073486328, uma_loss is 0.9247207641601562
loss is 11.11580753326416, acc1 is 2.734375, acc5 is 11.5234375, cma_loss is 10.249706268310547, uma_loss is 0.8661011457443237
loss is 10.886759757995605, acc1 is 3.3203125, acc5 is 12.5, cma_loss is 10.014705657958984, uma_loss is 0.8720539808273315
loss is 10.948892593383789, acc1 is 2.9296875, acc5 is 11.1328125, cma_loss is 10.13888168334961, uma_loss is 0.8100113868713379
loss is 10.755597114562988, acc1 is 3.61328125, acc5 is 12.3046875, cma_loss is 9.889144897460938, uma_loss is 0.8664525747299194
loss is 11.058443069458008, acc1 is 2.34375, acc5 is 12.40234375, cma_loss is 10.250289916992188, uma_loss is 0.8081530332565308
loss is 10.800338745117188, acc1 is 3.7109375, acc5 is 11.81640625, cma_loss is 10.039447784423828, uma_loss is 0.7608909606933594
loss is 10.896940231323242, acc1 is 3.90625, acc5 is 11.42578125, cma_loss is 10.051197052001953, uma_loss is 0.8457428216934204
loss is 10.785133361816406, acc1 is 2.83203125, acc5 is 13.76953125, cma_loss is 10.021629333496094, uma_loss is 0.7635043859481812
loss is 10.8207426071167, acc1 is 3.3203125, acc5 is 12.6953125, cma_loss is 10.094070434570312, uma_loss is 0.7266719341278076
loss is 10.624865531921387, acc1 is 3.41796875, acc5 is 14.2578125, cma_loss is 9.878658294677734, uma_loss is 0.7462073564529419
loss is 10.493058204650879, acc1 is 3.7109375, acc5 is 15.625, cma_loss is 9.772279739379883, uma_loss is 0.7207784652709961
loss is 10.53337574005127, acc1 is 4.00390625, acc5 is 15.72265625, cma_loss is 9.792964935302734, uma_loss is 0.7404108047485352
loss is 10.770359992980957, acc1 is 3.90625, acc5 is 13.0859375, cma_loss is 10.040233612060547, uma_loss is 0.7301263213157654
loss is 10.418745994567871, acc1 is 3.41796875, acc5 is 15.234375, cma_loss is 9.738887786865234, uma_loss is 0.6798585057258606
loss is 10.615579605102539, acc1 is 3.90625, acc5 is 13.4765625, cma_loss is 9.923316955566406, uma_loss is 0.6922628283500671
loss is 10.676712989807129, acc1 is 2.63671875, acc5 is 11.81640625, cma_loss is 9.978870391845703, uma_loss is 0.6978429555892944
loss is 10.432358741760254, acc1 is 3.80859375, acc5 is 15.52734375, cma_loss is 9.747940063476562, uma_loss is 0.6844187378883362
loss is 10.498833656311035, acc1 is 4.00390625, acc5 is 14.84375, cma_loss is 9.800678253173828, uma_loss is 0.6981550455093384
loss is 10.349943161010742, acc1 is 4.6875, acc5 is 17.578125, cma_loss is 9.686901092529297, uma_loss is 0.6630423069000244
loss is 10.264100074768066, acc1 is 5.17578125, acc5 is 15.625, cma_loss is 9.640386581420898, uma_loss is 0.6237136125564575
loss is 10.361129760742188, acc1 is 3.515625, acc5 is 16.30859375, cma_loss is 9.645326614379883, uma_loss is 0.7158031463623047
loss is 9.954573631286621, acc1 is 4.8828125, acc5 is 17.7734375, cma_loss is 9.330923080444336, uma_loss is 0.6236504912376404
loss is 10.284770965576172, acc1 is 4.8828125, acc5 is 18.45703125, cma_loss is 9.622913360595703, uma_loss is 0.6618573069572449
loss is 10.319137573242188, acc1 is 4.58984375, acc5 is 15.234375, cma_loss is 9.698480606079102, uma_loss is 0.6206574440002441
loss is 10.03770923614502, acc1 is 5.2734375, acc5 is 19.23828125, cma_loss is 9.40321159362793, uma_loss is 0.6344979405403137
loss is 10.028447151184082, acc1 is 5.6640625, acc5 is 18.9453125, cma_loss is 9.409858703613281, uma_loss is 0.6185884475708008
loss is 10.309663772583008, acc1 is 4.58984375, acc5 is 16.6015625, cma_loss is 9.67030143737793, uma_loss is 0.6393624544143677
loss is 9.991668701171875, acc1 is 5.56640625, acc5 is 18.26171875, cma_loss is 9.350130081176758, uma_loss is 0.6415387392044067
loss is 10.49421215057373, acc1 is 5.078125, acc5 is 16.015625, cma_loss is 9.837535858154297, uma_loss is 0.6566765904426575
loss is 10.155356407165527, acc1 is 4.19921875, acc5 is 17.7734375, cma_loss is 9.529157638549805, uma_loss is 0.6261985301971436
loss is 10.17686653137207, acc1 is 4.4921875, acc5 is 16.2109375, cma_loss is 9.569803237915039, uma_loss is 0.6070630550384521
loss is 10.068472862243652, acc1 is 5.46875, acc5 is 19.23828125, cma_loss is 9.472953796386719, uma_loss is 0.5955188274383545
loss is 9.971363067626953, acc1 is 5.078125, acc5 is 20.8984375, cma_loss is 9.380664825439453, uma_loss is 0.5906979441642761
loss is 10.035181045532227, acc1 is 5.17578125, acc5 is 19.23828125, cma_loss is 9.416879653930664, uma_loss is 0.6183009743690491
loss is 9.88778018951416, acc1 is 4.78515625, acc5 is 19.3359375, cma_loss is 9.297510147094727, uma_loss is 0.590270459651947
loss is 9.961896896362305, acc1 is 6.15234375, acc5 is 18.9453125, cma_loss is 9.392763137817383, uma_loss is 0.5691335797309875
loss is 9.826276779174805, acc1 is 5.37109375, acc5 is 19.53125, cma_loss is 9.206165313720703, uma_loss is 0.620111346244812
loss is 9.887163162231445, acc1 is 4.98046875, acc5 is 17.96875, cma_loss is 9.325700759887695, uma_loss is 0.5614627599716187
loss is 10.009265899658203, acc1 is 5.46875, acc5 is 18.75, cma_loss is 9.424400329589844, uma_loss is 0.5848660469055176
loss is 9.727519035339355, acc1 is 6.8359375, acc5 is 20.3125, cma_loss is 9.126863479614258, uma_loss is 0.6006552577018738
loss is 9.840707778930664, acc1 is 5.2734375, acc5 is 21.09375, cma_loss is 9.23996353149414, uma_loss is 0.6007443070411682
loss is 9.707296371459961, acc1 is 4.8828125, acc5 is 19.53125, cma_loss is 9.115604400634766, uma_loss is 0.5916914939880371
loss is 9.805760383605957, acc1 is 6.15234375, acc5 is 20.80078125, cma_loss is 9.258726119995117, uma_loss is 0.5470340847969055
