/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:261: DtypeWarning: Columns (17,18,19,20,21) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:306: DtypeWarning: Columns (16,17,18) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
directory "../checkpoints/" existing for save checkpoint!
#########################################
Be patient..., checking checkpoint now...
Start training from 0 epoch
#########################################
training start!
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:91: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
  0%|                                                                                                                                                                                                                                                                                                                                            | 0/21 [00:00<?, ?it/s]/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:117: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():                                                                                                                                                                                                                                                                                                                             | 0/1406 [00:00<?, ?it/s]
loss is 9.529263496398926, acc1 is 8.3984375, acc5 is 25.1953125, cma_loss is 8.892016410827637, uma_loss is 0.6372473835945129
loss is 9.540935516357422, acc1 is 7.2265625, acc5 is 23.73046875, cma_loss is 8.832709312438965, uma_loss is 0.7082263231277466
loss is 9.680774688720703, acc1 is 7.421875, acc5 is 22.36328125, cma_loss is 9.026788711547852, uma_loss is 0.6539860963821411
loss is 9.500412940979004, acc1 is 7.2265625, acc5 is 25.390625, cma_loss is 8.834964752197266, uma_loss is 0.6654485464096069
loss is 9.600618362426758, acc1 is 5.46875, acc5 is 22.65625, cma_loss is 8.959242820739746, uma_loss is 0.6413756608963013
loss is 9.559752464294434, acc1 is 8.59375, acc5 is 24.8046875, cma_loss is 8.959213256835938, uma_loss is 0.6005392074584961
loss is 9.19921588897705, acc1 is 8.984375, acc5 is 28.02734375, cma_loss is 8.585716247558594, uma_loss is 0.6134994029998779
loss is 9.354351997375488, acc1 is 8.59375, acc5 is 26.46484375, cma_loss is 8.728899955749512, uma_loss is 0.6254516839981079
loss is 9.341348648071289, acc1 is 7.421875, acc5 is 23.73046875, cma_loss is 8.748878479003906, uma_loss is 0.592470645904541
loss is 9.469103813171387, acc1 is 7.91015625, acc5 is 24.51171875, cma_loss is 8.847661972045898, uma_loss is 0.6214420795440674
loss is 9.35949993133545, acc1 is 6.640625, acc5 is 24.90234375, cma_loss is 8.777231216430664, uma_loss is 0.5822682976722717
loss is 9.25940227508545, acc1 is 8.10546875, acc5 is 26.85546875, cma_loss is 8.664985656738281, uma_loss is 0.5944162011146545
loss is 9.44804573059082, acc1 is 7.421875, acc5 is 23.73046875, cma_loss is 8.866327285766602, uma_loss is 0.581718385219574
loss is 9.2129487991333, acc1 is 9.27734375, acc5 is 27.83203125, cma_loss is 8.660993576049805, uma_loss is 0.5519548058509827
loss is 9.133927345275879, acc1 is 8.30078125, acc5 is 25.1953125, cma_loss is 8.602422714233398, uma_loss is 0.5315046310424805
loss is 9.256800651550293, acc1 is 7.421875, acc5 is 22.8515625, cma_loss is 8.719831466674805, uma_loss is 0.5369693636894226
loss is 9.049248695373535, acc1 is 9.27734375, acc5 is 28.515625, cma_loss is 8.481021881103516, uma_loss is 0.5682268738746643
loss is 9.309720039367676, acc1 is 7.421875, acc5 is 25.68359375, cma_loss is 8.75856876373291, uma_loss is 0.5511514544487
loss is 9.188803672790527, acc1 is 8.203125, acc5 is 26.26953125, cma_loss is 8.66172981262207, uma_loss is 0.5270741581916809
loss is 9.16620922088623, acc1 is 8.10546875, acc5 is 26.26953125, cma_loss is 8.62173843383789, uma_loss is 0.5444706082344055
loss is 9.203922271728516, acc1 is 8.69140625, acc5 is 26.171875, cma_loss is 8.675555229187012, uma_loss is 0.5283668637275696
loss is 9.388230323791504, acc1 is 7.8125, acc5 is 23.14453125, cma_loss is 8.841976165771484, uma_loss is 0.5462545156478882
loss is 9.102564811706543, acc1 is 8.203125, acc5 is 28.61328125, cma_loss is 8.574281692504883, uma_loss is 0.5282831192016602
loss is 9.221259117126465, acc1 is 8.3984375, acc5 is 25.9765625, cma_loss is 8.671919822692871, uma_loss is 0.5493394136428833
loss is 9.422886848449707, acc1 is 6.640625, acc5 is 24.51171875, cma_loss is 8.866842269897461, uma_loss is 0.5560442805290222
loss is 9.28986930847168, acc1 is 8.88671875, acc5 is 25.390625, cma_loss is 8.74781608581543, uma_loss is 0.5420535802841187
loss is 9.320012092590332, acc1 is 8.3984375, acc5 is 23.828125, cma_loss is 8.785669326782227, uma_loss is 0.5343430042266846
loss is 9.157665252685547, acc1 is 10.15625, acc5 is 30.37109375, cma_loss is 8.644987106323242, uma_loss is 0.5126786231994629
loss is 9.334905624389648, acc1 is 8.10546875, acc5 is 24.0234375, cma_loss is 8.849263191223145, uma_loss is 0.48564276099205017
loss is 9.173617362976074, acc1 is 7.2265625, acc5 is 25.48828125, cma_loss is 8.679750442504883, uma_loss is 0.4938671588897705
loss is 9.3673734664917, acc1 is 6.54296875, acc5 is 24.609375, cma_loss is 8.833820343017578, uma_loss is 0.5335532426834106
