/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:261: DtypeWarning: Columns (17,18,19,20,21) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:306: DtypeWarning: Columns (16,17,18) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
directory "../checkpoints/" existing for save checkpoint!
#########################################
Be patient..., checking checkpoint now...
Start training from 0 epoch
#########################################
training start!
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:91: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
  0%|                                                                                                                                                                                                                                                                                                                                            | 0/21 [00:00<?, ?it/s]/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:117: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():                                                                                                                                                                                                                                                                                                                             | 0/1406 [00:00<?, ?it/s]
loss is 9.920074462890625, acc1 is 5.56640625, acc5 is 20.5078125, cma_loss is 9.18612289428711, uma_loss is 0.7339514493942261
loss is 9.872899055480957, acc1 is 4.8828125, acc5 is 21.77734375, cma_loss is 9.134620666503906, uma_loss is 0.7382782101631165
loss is 10.136600494384766, acc1 is 4.39453125, acc5 is 17.48046875, cma_loss is 9.412468910217285, uma_loss is 0.72413170337677
loss is 9.804264068603516, acc1 is 5.95703125, acc5 is 19.921875, cma_loss is 9.124914169311523, uma_loss is 0.6793503761291504
loss is 9.897481918334961, acc1 is 5.37109375, acc5 is 20.80078125, cma_loss is 9.217395782470703, uma_loss is 0.6800861358642578
loss is 9.664263725280762, acc1 is 7.12890625, acc5 is 21.19140625, cma_loss is 9.006072998046875, uma_loss is 0.658190906047821
loss is 9.598587989807129, acc1 is 8.10546875, acc5 is 23.6328125, cma_loss is 8.945060729980469, uma_loss is 0.6535272598266602
loss is 9.695053100585938, acc1 is 7.32421875, acc5 is 24.4140625, cma_loss is 9.062532424926758, uma_loss is 0.632520318031311
loss is 9.83995246887207, acc1 is 6.34765625, acc5 is 21.97265625, cma_loss is 9.204776763916016, uma_loss is 0.635175347328186
loss is 9.606200218200684, acc1 is 5.6640625, acc5 is 20.41015625, cma_loss is 8.980247497558594, uma_loss is 0.625952959060669
loss is 9.617009162902832, acc1 is 6.15234375, acc5 is 22.0703125, cma_loss is 8.974331855773926, uma_loss is 0.6426775455474854
loss is 9.5488862991333, acc1 is 6.93359375, acc5 is 21.875, cma_loss is 8.921257019042969, uma_loss is 0.6276290416717529
loss is 9.599733352661133, acc1 is 7.2265625, acc5 is 25.87890625, cma_loss is 8.991540908813477, uma_loss is 0.608191967010498
loss is 9.573628425598145, acc1 is 7.12890625, acc5 is 22.0703125, cma_loss is 8.926970481872559, uma_loss is 0.6466577649116516
loss is 9.845463752746582, acc1 is 6.0546875, acc5 is 20.8984375, cma_loss is 9.202567100524902, uma_loss is 0.6428965926170349
loss is 9.532644271850586, acc1 is 6.73828125, acc5 is 24.12109375, cma_loss is 8.913240432739258, uma_loss is 0.6194036602973938
loss is 9.799837112426758, acc1 is 5.859375, acc5 is 20.8984375, cma_loss is 9.19609546661377, uma_loss is 0.6037413477897644
loss is 9.659211158752441, acc1 is 6.93359375, acc5 is 23.73046875, cma_loss is 9.068964004516602, uma_loss is 0.5902472138404846
loss is 9.398417472839355, acc1 is 8.203125, acc5 is 24.51171875, cma_loss is 8.778519630432129, uma_loss is 0.619897723197937
loss is 9.402097702026367, acc1 is 7.421875, acc5 is 25.0, cma_loss is 8.772642135620117, uma_loss is 0.6294553279876709
loss is 9.43727970123291, acc1 is 6.8359375, acc5 is 21.97265625, cma_loss is 8.846857070922852, uma_loss is 0.5904226899147034
loss is 9.6611328125, acc1 is 7.421875, acc5 is 23.828125, cma_loss is 9.03381633758545, uma_loss is 0.6273167729377747
