/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:261: DtypeWarning: Columns (18,19,20,21,22) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:307: DtypeWarning: Columns (17,18,19) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
/home/lijun/anaconda3/envs/ecg/lib/python3.10/site-packages/transformers/tokenization_utils_base.py:1617: FutureWarning: `clean_up_tokenization_spaces` was not set. It will be set to `True` by default. This behavior will be deprecated in transformers v4.45, and will be then set to `False` by default. For more details check this issue: https://github.com/huggingface/transformers/issues/31884
  warnings.warn(
directory "../checkpoints/" existing for save checkpoint!
#########################################
Be patient..., checking checkpoint now...
Start training from 0 epoch
#########################################
training start!
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:91: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
  0%|                                                                                                                                                                                                                                                                                                                                            | 0/21 [00:00<?, ?it/s]/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:117: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():                                                                                                                                                                                                                                                                                                                              | 0/703 [00:00<?, ?it/s]
loss is 15.916255950927734, acc1 is 0.341796875, acc5 is 1.708984375, cma_loss is 12.939310073852539, uma_loss is 2.976945400238037
loss is 15.891535758972168, acc1 is 0.29296875, acc5 is 1.611328125, cma_loss is 12.974414825439453, uma_loss is 2.917121171951294
loss is 15.62298583984375, acc1 is 0.390625, acc5 is 2.197265625, cma_loss is 12.804719924926758, uma_loss is 2.8182661533355713
loss is 15.657673835754395, acc1 is 0.29296875, acc5 is 1.3671875, cma_loss is 12.874429702758789, uma_loss is 2.7832438945770264
loss is 15.66021728515625, acc1 is 0.29296875, acc5 is 1.513671875, cma_loss is 12.911876678466797, uma_loss is 2.748340129852295
loss is 15.45808219909668, acc1 is 0.341796875, acc5 is 1.3671875, cma_loss is 12.787694931030273, uma_loss is 2.6703875064849854
loss is 15.406717300415039, acc1 is 0.29296875, acc5 is 1.5625, cma_loss is 12.836519241333008, uma_loss is 2.570197582244873
loss is 15.224433898925781, acc1 is 0.48828125, acc5 is 2.587890625, cma_loss is 12.696599960327148, uma_loss is 2.5278337001800537
loss is 15.18181037902832, acc1 is 0.439453125, acc5 is 1.953125, cma_loss is 12.690919876098633, uma_loss is 2.4908907413482666
loss is 15.053956031799316, acc1 is 0.5859375, acc5 is 2.24609375, cma_loss is 12.599868774414062, uma_loss is 2.454087495803833
loss is 15.08240795135498, acc1 is 0.29296875, acc5 is 1.46484375, cma_loss is 12.757858276367188, uma_loss is 2.324549674987793
loss is 14.842924118041992, acc1 is 0.390625, acc5 is 2.685546875, cma_loss is 12.549566268920898, uma_loss is 2.2933573722839355
loss is 14.800138473510742, acc1 is 0.244140625, acc5 is 1.513671875, cma_loss is 12.528572082519531, uma_loss is 2.271566152572632
loss is 14.802042007446289, acc1 is 0.341796875, acc5 is 2.24609375, cma_loss is 12.553255081176758, uma_loss is 2.2487871646881104
loss is 14.597314834594727, acc1 is 0.390625, acc5 is 2.587890625, cma_loss is 12.435028076171875, uma_loss is 2.1622862815856934
loss is 14.542109489440918, acc1 is 0.48828125, acc5 is 2.83203125, cma_loss is 12.427000045776367, uma_loss is 2.115109443664551
loss is 14.483104705810547, acc1 is 0.341796875, acc5 is 2.392578125, cma_loss is 12.440229415893555, uma_loss is 2.042874813079834
loss is 14.439277648925781, acc1 is 0.5859375, acc5 is 2.880859375, cma_loss is 12.434715270996094, uma_loss is 2.0045619010925293
loss is 14.378856658935547, acc1 is 0.439453125, acc5 is 2.83203125, cma_loss is 12.365530014038086, uma_loss is 2.013326644897461
loss is 14.409502983093262, acc1 is 0.5859375, acc5 is 2.9296875, cma_loss is 12.477380752563477, uma_loss is 1.932121992111206
loss is 14.221566200256348, acc1 is 0.78125, acc5 is 3.02734375, cma_loss is 12.431015014648438, uma_loss is 1.7905513048171997
loss is 14.07455825805664, acc1 is 0.78125, acc5 is 3.173828125, cma_loss is 12.328235626220703, uma_loss is 1.7463222742080688
loss is 14.080316543579102, acc1 is 0.390625, acc5 is 2.44140625, cma_loss is 12.322946548461914, uma_loss is 1.757369875907898
loss is 14.042536735534668, acc1 is 0.48828125, acc5 is 2.83203125, cma_loss is 12.32529067993164, uma_loss is 1.7172462940216064
loss is 14.21563720703125, acc1 is 0.439453125, acc5 is 2.099609375, cma_loss is 12.462799072265625, uma_loss is 1.752838373184204
loss is 14.187326431274414, acc1 is 0.48828125, acc5 is 2.63671875, cma_loss is 12.492256164550781, uma_loss is 1.6950700283050537
loss is 14.107059478759766, acc1 is 0.537109375, acc5 is 2.099609375, cma_loss is 12.449705123901367, uma_loss is 1.6573542356491089
loss is 13.915182113647461, acc1 is 0.634765625, acc5 is 3.22265625, cma_loss is 12.227388381958008, uma_loss is 1.687793254852295
loss is 14.244098663330078, acc1 is 0.390625, acc5 is 2.392578125, cma_loss is 12.537290573120117, uma_loss is 1.70680832862854
loss is 13.847831726074219, acc1 is 0.390625, acc5 is 3.7109375, cma_loss is 12.222452163696289, uma_loss is 1.6253795623779297
loss is 13.980626106262207, acc1 is 0.5859375, acc5 is 3.173828125, cma_loss is 12.320261001586914, uma_loss is 1.6603654623031616
loss is 13.758264541625977, acc1 is 0.87890625, acc5 is 4.00390625, cma_loss is 12.190879821777344, uma_loss is 1.5673846006393433
loss is 13.983638763427734, acc1 is 0.732421875, acc5 is 3.369140625, cma_loss is 12.338628768920898, uma_loss is 1.6450104713439941
loss is 13.588055610656738, acc1 is 1.123046875, acc5 is 3.90625, cma_loss is 12.013673782348633, uma_loss is 1.5743821859359741
loss is 13.736221313476562, acc1 is 0.732421875, acc5 is 3.271484375, cma_loss is 12.13066291809082, uma_loss is 1.6055588722229004
loss is 13.708599090576172, acc1 is 1.025390625, acc5 is 3.3203125, cma_loss is 12.135955810546875, uma_loss is 1.5726431608200073
loss is 13.671685218811035, acc1 is 1.220703125, acc5 is 4.248046875, cma_loss is 12.082796096801758, uma_loss is 1.5888893604278564
loss is 13.520469665527344, acc1 is 1.025390625, acc5 is 4.1015625, cma_loss is 11.935970306396484, uma_loss is 1.584499478340149
loss is 13.58168888092041, acc1 is 1.025390625, acc5 is 4.00390625, cma_loss is 12.096349716186523, uma_loss is 1.4853389263153076
loss is 13.661040306091309, acc1 is 0.390625, acc5 is 2.978515625, cma_loss is 12.104021072387695, uma_loss is 1.5570194721221924
loss is 13.395989418029785, acc1 is 0.9765625, acc5 is 5.322265625, cma_loss is 11.848600387573242, uma_loss is 1.5473887920379639
loss is 13.415708541870117, acc1 is 1.220703125, acc5 is 4.833984375, cma_loss is 11.88541030883789, uma_loss is 1.5302979946136475
loss is 13.383330345153809, acc1 is 1.07421875, acc5 is 5.078125, cma_loss is 11.89455795288086, uma_loss is 1.4887726306915283
loss is 13.349233627319336, acc1 is 1.171875, acc5 is 4.39453125, cma_loss is 11.879434585571289, uma_loss is 1.4697986841201782
loss is 13.341907501220703, acc1 is 0.68359375, acc5 is 5.126953125, cma_loss is 11.83442497253418, uma_loss is 1.5074824094772339
loss is 13.474319458007812, acc1 is 1.025390625, acc5 is 4.39453125, cma_loss is 11.952766418457031, uma_loss is 1.5215531587600708
loss is 13.27662467956543, acc1 is 1.46484375, acc5 is 5.419921875, cma_loss is 11.8394775390625, uma_loss is 1.4371466636657715
loss is 13.259482383728027, acc1 is 0.830078125, acc5 is 4.1015625, cma_loss is 11.842798233032227, uma_loss is 1.4166839122772217
loss is 13.257377624511719, acc1 is 1.171875, acc5 is 4.6875, cma_loss is 11.782573699951172, uma_loss is 1.474804162979126
loss is 13.211642265319824, acc1 is 1.220703125, acc5 is 6.298828125, cma_loss is 11.730274200439453, uma_loss is 1.481367826461792
loss is 13.191457748413086, acc1 is 1.416015625, acc5 is 5.37109375, cma_loss is 11.736291885375977, uma_loss is 1.455166220664978
loss is 13.230429649353027, acc1 is 0.9765625, acc5 is 4.736328125, cma_loss is 11.793769836425781, uma_loss is 1.4366599321365356
loss is 13.16775894165039, acc1 is 1.220703125, acc5 is 4.638671875, cma_loss is 11.723226547241211, uma_loss is 1.4445326328277588
loss is 13.118644714355469, acc1 is 1.5625, acc5 is 5.95703125, cma_loss is 11.746366500854492, uma_loss is 1.3722783327102661
