/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:261: DtypeWarning: Columns (18,19,20,21,22) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:306: DtypeWarning: Columns (17,18,19) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
directory "../checkpoints/" existing for save checkpoint!
#########################################
Be patient..., checking checkpoint now...
Start training from 0 epoch
#########################################
training start!
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:91: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
  0%|                                                                                                                                                                                                                                                                                                                                            | 0/21 [00:00<?, ?it/s]/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:117: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():                                                                                                                                                                                                                                                                                                                             | 0/1406 [00:00<?, ?it/s]
loss is 12.350309371948242, acc1 is 1.46484375, acc5 is 6.15234375, cma_loss is 10.769432067871094, uma_loss is 1.5808777809143066
loss is 12.381745338439941, acc1 is 1.171875, acc5 is 5.76171875, cma_loss is 10.722740173339844, uma_loss is 1.6590054035186768
loss is 12.5374174118042, acc1 is 1.171875, acc5 is 6.0546875, cma_loss is 10.928459167480469, uma_loss is 1.6089582443237305
loss is 12.296979904174805, acc1 is 2.24609375, acc5 is 6.73828125, cma_loss is 10.71334457397461, uma_loss is 1.5836355686187744
loss is 12.339651107788086, acc1 is 1.5625, acc5 is 6.54296875, cma_loss is 10.783454895019531, uma_loss is 1.5561959743499756
loss is 12.108418464660645, acc1 is 1.953125, acc5 is 8.10546875, cma_loss is 10.505245208740234, uma_loss is 1.6031734943389893
loss is 12.081819534301758, acc1 is 1.7578125, acc5 is 8.0078125, cma_loss is 10.594158172607422, uma_loss is 1.4876618385314941
loss is 12.185785293579102, acc1 is 1.3671875, acc5 is 7.12890625, cma_loss is 10.612356185913086, uma_loss is 1.5734295845031738
loss is 12.114782333374023, acc1 is 1.3671875, acc5 is 9.1796875, cma_loss is 10.646442413330078, uma_loss is 1.4683403968811035
loss is 12.089143753051758, acc1 is 1.171875, acc5 is 7.51953125, cma_loss is 10.645801544189453, uma_loss is 1.4433423280715942
loss is 11.959281921386719, acc1 is 2.83203125, acc5 is 8.3984375, cma_loss is 10.541038513183594, uma_loss is 1.4182437658309937
loss is 11.9935941696167, acc1 is 1.953125, acc5 is 7.03125, cma_loss is 10.642721176147461, uma_loss is 1.3508729934692383
loss is 11.993824005126953, acc1 is 1.66015625, acc5 is 7.2265625, cma_loss is 10.615499496459961, uma_loss is 1.3783247470855713
loss is 11.955345153808594, acc1 is 1.3671875, acc5 is 7.6171875, cma_loss is 10.688766479492188, uma_loss is 1.266578197479248
loss is 11.920476913452148, acc1 is 1.5625, acc5 is 8.0078125, cma_loss is 10.650375366210938, uma_loss is 1.270101547241211
loss is 11.72689151763916, acc1 is 2.34375, acc5 is 8.59375, cma_loss is 10.526329040527344, uma_loss is 1.200562596321106
loss is 11.783438682556152, acc1 is 1.66015625, acc5 is 7.71484375, cma_loss is 10.578567504882812, uma_loss is 1.2048709392547607
loss is 11.673530578613281, acc1 is 2.05078125, acc5 is 8.984375, cma_loss is 10.474109649658203, uma_loss is 1.1994208097457886
loss is 11.532718658447266, acc1 is 1.5625, acc5 is 9.86328125, cma_loss is 10.446613311767578, uma_loss is 1.0861051082611084
loss is 11.655693054199219, acc1 is 1.3671875, acc5 is 9.27734375, cma_loss is 10.45449447631836, uma_loss is 1.2011988162994385
loss is 11.452763557434082, acc1 is 1.85546875, acc5 is 9.5703125, cma_loss is 10.335929870605469, uma_loss is 1.1168333292007446
loss is 11.513961791992188, acc1 is 2.63671875, acc5 is 9.08203125, cma_loss is 10.405876159667969, uma_loss is 1.1080855131149292
loss is 11.387240409851074, acc1 is 1.953125, acc5 is 8.984375, cma_loss is 10.3349609375, uma_loss is 1.0522793531417847
loss is 11.24787425994873, acc1 is 2.5390625, acc5 is 10.64453125, cma_loss is 10.291316986083984, uma_loss is 0.9565571546554565
loss is 11.391292572021484, acc1 is 2.1484375, acc5 is 10.546875, cma_loss is 10.38058853149414, uma_loss is 1.010704517364502
loss is 11.087972640991211, acc1 is 1.953125, acc5 is 12.109375, cma_loss is 10.175662994384766, uma_loss is 0.9123092889785767
loss is 11.178823471069336, acc1 is 3.22265625, acc5 is 10.7421875, cma_loss is 10.216060638427734, uma_loss is 0.9627628326416016
loss is 11.02210807800293, acc1 is 2.83203125, acc5 is 11.1328125, cma_loss is 10.110687255859375, uma_loss is 0.9114203453063965
loss is 11.144195556640625, acc1 is 2.5390625, acc5 is 10.25390625, cma_loss is 10.281290054321289, uma_loss is 0.8629052639007568
loss is 10.906330108642578, acc1 is 3.125, acc5 is 12.3046875, cma_loss is 10.034862518310547, uma_loss is 0.8714679479598999
loss is 10.811774253845215, acc1 is 3.22265625, acc5 is 12.59765625, cma_loss is 9.992500305175781, uma_loss is 0.8192739486694336
loss is 10.687726974487305, acc1 is 3.515625, acc5 is 13.4765625, cma_loss is 9.74710464477539, uma_loss is 0.9406222105026245
loss is 10.943897247314453, acc1 is 3.3203125, acc5 is 12.20703125, cma_loss is 10.095527648925781, uma_loss is 0.8483693599700928
loss is 10.892743110656738, acc1 is 3.41796875, acc5 is 12.3046875, cma_loss is 10.099769592285156, uma_loss is 0.7929731607437134
loss is 10.751259803771973, acc1 is 3.7109375, acc5 is 13.37890625, cma_loss is 9.928171157836914, uma_loss is 0.8230886459350586
loss is 10.736420631408691, acc1 is 3.3203125, acc5 is 11.71875, cma_loss is 9.921417236328125, uma_loss is 0.8150033950805664
loss is 10.902505874633789, acc1 is 3.80859375, acc5 is 12.5, cma_loss is 10.110830307006836, uma_loss is 0.7916750907897949
loss is 10.83312702178955, acc1 is 3.515625, acc5 is 15.33203125, cma_loss is 9.965057373046875, uma_loss is 0.8680692911148071
loss is 10.532803535461426, acc1 is 3.515625, acc5 is 14.6484375, cma_loss is 9.730537414550781, uma_loss is 0.8022657632827759
